,Exmachina,"Yo, Robot",AI,2001,Matrix,Blade Runner,Y
E69,4.00,3.00,4.50,3.00,2.00,3.50,
E71,5.00,4.50,3.50,4.00,4.00,4.50,
E72,4.00,4.50,3.50,4.50,5.00,5.00,
E74,4.50,3.50,4.00,5.00,4.50,5.00,
E75,4.50,3.50,4.00,4.50,5.00,4.00,
E77,4.00,3.00,3.00,4.00,4.00,3.00,
E78,3.50,3.00,4.00,5.00,5.00,4.50,
E79,4.50,3.50,3.00,4.00,4.50,3.00,
E80,4.00,3.50,4.50,4.50,4.00,3.00,
E81,3.50,4.50,4.00,3.00,5.00,4.50,
E83,4.50,4.00,3.00,3.00,5.00,4.00,
E84,3.50,5.00,2.50,2.00,4.00,3.50,
E85,3.00,4.00,2.50,4.00,5.00,3.00,
E86,4.00,3.00,3.00,5.00,4.00,5.00,
E87,4.00,4.00,2.00,5.00,3.00,2.00,
E88,4.00,4.50,3.50,4.00,4.50,5.00,
E89,3.00,4.00,3.00,3.00,5.00,4.00,
E90,3.00,3.00,3.00,4.00,3.00,2.00,
E92,3.00,5.00,4.00,4.50,5.00,3.50,
E93,3.50,4.50,2.50,5.00,4.00,3.00,
E94,4.00,5.00,4.50,3.50,5.00,5.00,
E95,5.00,4.00,3.00,5.00,5.00,5.00,
E98,5.00,3.50,4.50,5.00,4.00,5.00,
E97,4.50,2.00,3.50,1.00,2.50,1.00,
E98,4.00,5.00,3.50,2.00,4.50,3.00,
E99,4.00,4.50,3.50,1.00,4.50,3.00,
E100,4.00,3.50,3.00,5.00,4.50,4.00,
E101,5.00,1.00,5.00,1.00,5.00,1.00,
E102,3.50,5.00,3.00,4.00,5.00,5.00,
E103,5.00,4.00,4.00,4.50,5.00,3.50,
E104,4.00,4.00,3.00,4.00,5.00,4.00,
E105,4.00,2.00,3.00,4.00,5.00,3.00,
E106,5.00,4.00,4.00,4.00,5.00,5.00,
E107,4.50,4.50,4.00,3.00,4.50,5.00,
E108,4.50,3.50,4.50,5.00,4.00,6.00,
E109,4.00,3.00,4.50,3.50,3.00,4.50,
E110,4.50,4.50,4.00,3.50,5.00,4.00,
E111,3.00,4.50,2.00,3.00,3.50,2.00,
E112,4.00,3.00,4.00,4.00,5.00,5.00,
E113,4.00,4.00,2.50,3.50,5.00,5.00,
E114,4.00,3.00,3.00,4.00,4.00,4.00,
E115,3.50,4.00,4.00,4.50,4.50,4.00,
E116,4.00,4.00,5.00,3.00,3.00,4.50,
E117,4.00,4.50,3.00,3.00,4.50,3.50,
E118,4.00,4.50,4.00,4.50,5.00,5.00,
E119,3.50,4.00,3.50,4.00,4.50,3.50,
E120,3.50,4.50,3.00,4.00,4.50,3.00,
E121,3.00,4.50,3.00,5.00,4.50,4.00,
E122,4.00,3.50,3.00,2.50,5.00,3.00,
E123,4.50,5.00,4.00,4.00,5.00,3.00,
E124,3.50,4.00,5.00,4.50,2.50,4.00,
E125,5,4,3.5,3,4.5,4,
E126,4.50,5.00,4.00,4.00,3.50,5,
E127,4,3.5,3.5,4,4,4.5,
E128,4.5,4.00,4.5,3.5,4.5,3,
E129,5,4,4,4,3.5,4.5,
E130,4,2.5,3,5,3.5,4,
E131,5,4,4,3,4.5,4,
E132,5,3.5,2.5,4,4,3,
E133,5,3.5,3,2,4,3.5,
E134,3,3,3,2,4,4.5,
E135,3,4,4,2,4,5,
E136,5,4.5,3.5,3,3.5,3,
E137,3,3.5,2,1.5,4,4,
E138,1.5,4,3,2,4,4,
E139,5,3,3,3.5,4,4,
E140,3,4,3.5,5,5,4,
E141,4.5,3.5,3,5,4,3.5,
E142,3,4.5,4,2,5,5,
E143,3,4,5,4,5,2,
E144,4.5,3,3,4,5,3.5,
E145,4.5,4,4,3,4,4,
E146,3,4,4,4,5,3.5,
E147,5,4.5,3,3,5,3.5,
E148,4,4.5,2.5,4,5,5,
E149,4.5,4,3,4,4.5,3.5,
E150,4,4.5,3,3.5,4,4,
